Date/Time,CPU Usage %,Temperature C
2022-03-29 14:18:56.598670,0.9,53.5
2022-03-29 14:19:06.795764,0.8,55.5
2022-03-29 14:19:17.000711,0.7,55.5
2022-03-29 14:19:27.394456,0.9,54.5
2022-03-29 14:19:37.607637,0.8,54.5
2022-03-29 14:19:47.817185,0.5,53.5
2022-03-29 14:19:58.041810,0.7,54
2022-03-29 14:20:08.240552,0.5,55.5
2022-03-29 14:20:18.460818,0.6,54
2022-03-29 14:20:28.702777,0.8,54
2022-03-29 14:20:38.915763,1,55
2022-03-29 14:20:49.114094,0.6,54
2022-03-29 14:20:59.320227,0.9,53.5
2022-03-29 14:21:09.589269,0.4,55.5
2022-03-29 14:21:19.789884,0.5,54.5
2022-03-29 14:21:30.058707,0.9,54.5
2022-03-29 14:21:40.263555,1.2,54
2022-03-29 14:21:50.494015,0.6,54
2022-03-29 14:22:00.714540,0.7,53.5
2022-03-29 14:22:10.906303,0.5,54
2022-03-29 14:22:21.189026,0.7,54
2022-03-29 14:22:31.393042,0.8,54
2022-03-29 14:22:41.660906,0.7,53.5
2022-03-29 14:22:51.880490,0.6,54.5
2022-03-29 14:23:02.160533,1.1,54
2022-03-29 14:23:12.364473,5.9,55
2022-03-29 14:23:22.578836,3.7,54
2022-03-29 14:23:32.803098,1.2,54
2022-03-29 14:23:43.002926,0.7,53.5
2022-03-29 14:23:53.210765,0.6,54.5
2022-03-29 14:24:03.424446,0.7,54.5
2022-03-29 14:24:13.623286,0.6,53.5
2022-03-29 14:24:23.823633,1,53
2022-03-29 14:24:34.182840,0.8,54
2022-03-29 14:24:44.427939,0.9,54
2022-03-29 14:24:54.645010,0.5,53.5
2022-03-29 14:25:04.842814,0.9,53
2022-03-29 14:25:15.046220,1.3,54.5
2022-03-29 14:25:25.265929,2.3,53
2022-03-29 14:25:35.482113,3.6,54.5
2022-03-29 14:25:45.705739,0.7,54
2022-03-29 14:25:55.892801,0.8,54
2022-03-29 14:26:06.092960,0.8,53.5
2022-03-29 14:26:16.322649,0.8,54
2022-03-29 14:26:26.525390,1,53.5
2022-03-29 14:26:36.729160,1.6,54
2022-03-29 14:26:46.915757,0.7,53.5
2022-03-29 14:26:57.105757,0.7,53.5
2022-03-29 14:27:07.307864,0.5,53
2022-03-29 14:27:17.510296,1.6,53.5
2022-03-29 14:27:27.759452,2.2,53.5
2022-03-29 14:27:37.958706,0.9,52.5
2022-03-29 14:27:48.171621,0.2,53.5
2022-03-29 14:27:58.392703,0.4,53
2022-03-29 14:28:08.590504,0.2,54
2022-03-29 14:28:18.810860,0.3,53
2022-03-29 14:28:29.015728,4.1,53.5
2022-03-29 14:28:39.250563,4.9,54.5
2022-03-29 14:28:49.436747,4,53.5
